"Tabela 2.22 - Total e proporção de pessoas, por classes de rendimento domiciliar per capita selecionadas, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas das Capitais - Brasil - 2023","","","",""
"","","","",""
"","","","",""
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas das Capitais","Total
(1 000 pessoas)","Proporção de pessoas por classes de rendimento domiciliar per capita (%)","",""
"","","","",""
"","","Até ¼ de salário mínimo (R$ 330)","Mais de ¼ a ½ salário mínimo (R$ 660)","Até R$ 218 (1)"
"","","","",""
"","","","",""
"Brasil","  0 215 546 ","  0 000 009.3013302818112","  0 000 017.815769432594","  0 000 004.6303790463842"
"Norte","  0 019 011 ","  0 000 014.239761148842","  0 000 025.63729262003","  0 000 006.7399615976065"
"Rondônia","  0 001 840 ","  0 000 007.2590222722329","  0 000 018.656161267754","  0 000 004.8345945419002"
"Acre","  0 000 913 ","  0 000 023.081618853876","  0 000 026.496479838572","  0 000 013.679502210996"
"Amazonas","  0 004 220 ","  0 000 017.066814687578","  0 000 029.864137391483","  0 000 007.8499789245011"
"Região Metropolitana de Manaus","  0 002 714 ","  0 000 010.966739753428","  0 000 027.696185604614","  0 000 004.4527975200067"
"Roraima","  0 000 609 ","  0 000 015.25241809049","  0 000 021.85744852729","  0 000 008.5099464937162"
"Pará","  0 008 901 ","  0 000 014.225733522157","  0 000 026.869363784271","  0 000 006.4109113256856"
"Região Metropolitana de Belém","  0 002 372 ","  0 000 008.2148366808431","  0 000 018.483762766682","  0 000 003.3019129007527"
"Amapá","  0 000 899 ","  0 000 012.904751681105","  0 000 020.802716340719","  0 000 004.3831678514271"
"Região Metropolitana de Macapá","  0 000 668 ","  0 000 007.9087557071779","  0 000 018.876349989758","  0 000 002.6936852819831"
"Tocantins","  0 001 626 ","  0 000 010.272208819672","  0 000 019.43441960136","  0 000 004.5588502920435"
"Nordeste","  0 058 065 ","  0 000 018.547670643818","  0 000 027.741997298578","  0 000 009.5321700494486"
"Maranhão","  0 007 191 ","  0 000 022.810640650975","  0 000 029.122564949976","  0 000 013.041421131183"
"Região Metropolitana de Grande São Luís","  0 001 495 ","  0 000 013.225261142015","  0 000 027.07321392667","  0 000 008.1210317293569"
"Piauí","  0 003 302 ","  0 000 018.363713522069","  0 000 026.028963958582","  0 000 008.8970379207581"
"RIDE de Grande Teresina","  0 001 241 ","  0 000 010.021884603596","  0 000 022.220465403359","  0 000 004.402295624327"
"Ceará","  0 009 336 ","  0 000 019.138172715917","  0 000 027.967345693259","  0 000 009.8693179026215"
"Região Metropolitana de Fortaleza","  0 004 082 ","  0 000 014.232686010062","  0 000 024.969208311702","  0 000 007.8858125294821"
"Rio Grande do Norte","  0 003 612 ","  0 000 015.517513401904","  0 000 026.939022074879","  0 000 006.486156181683"
"Região Metropolitana de Natal","  0 001 598 ","  0 000 012.192099476336","  0 000 026.357749634962","  0 000 005.1116831279277"
"Paraíba","  0 004 076 ","  0 000 016.653522562566","  0 000 029.630982143564","  0 000 007.8612444951829"
"Região Metropolitana de João Pessoa","  0 001 361 ","  0 000 010.320756342801","  0 000 028.764785627952","  0 000 004.6147619081666"
"Pernambuco","  0 009 727 ","  0 000 018.578775625036","  0 000 028.293515609072","  0 000 009.6369717530826"
"Região Metropolitana de Recife","  0 004 091 ","  0 000 015.312549318043","  0 000 023.963774377028","  0 000 008.5706503340352"
"Alagoas","  0 003 382 ","  0 000 017.614824930861","  0 000 027.312307753326","  0 000 009.1039794918649"
"Região Metropolitana de Maceió","  0 001 291 ","  0 000 009.0541500391688","  0 000 023.570811842817","  0 000 004.0402671167939"
"Sergipe","  0 002 374 ","  0 000 017.192215656943","  0 000 026.880990190299","  0 000 008.354630735672"
"Região Metropolitana de Aracaju","  0 001 004 ","  0 000 012.020110913432","  0 000 020.024923969818","  0 000 006.5019330265029"
"Bahia","  0 015 062 ","  0 000 017.829088285341","  0 000 026.876223451606","  0 000 009.1838207668822"
"Região Metropolitana de Salvador","  0 004 030 ","  0 000 011.719046947422","  0 000 022.241658024821","  0 000 006.7083957251645"
"Sudeste","  0 090 754 ","  0 000 005.2524106242308","  0 000 013.119540503579","  0 000 002.5528902505883"
"Minas Gerais","  0 021 615 ","  0 000 004.9043370983235","  0 000 015.809644330448","  0 000 002.2283979508984"
"Região Metropolitana de Belo Horizonte","  0 005 497 ","  0 000 004.6975922305405","  0 000 012.626570490388","  0 000 002.6644626114023"
"Espírito Santo","  0 004 189 ","  0 000 005.7968742214637","  0 000 015.421074799922","  0 000 002.7022207954686"
"Região Metropolitana de Grande Vitória","  0 002 083 ","  0 000 006.3073937689944","  0 000 013.400049042722","  0 000 003.3717545448742"
"Rio de Janeiro","  0 017 634 ","  0 000 007.3281507807471","  0 000 014.820368847249","  0 000 003.6866514335795"
"Região Metropolitana de Rio de Janeiro","  0 012 862 ","  0 000 007.1880975622031","  0 000 013.482306118764","  0 000 003.9368504336327"
"São Paulo","  0 047 315 ","  0 000 004.5896018999537","  0 000 011.052909072211","  0 000 002.265364808554"
"Região Metropolitana de São Paulo","  0 022 336 ","  0 000 005.2211767714787","  0 000 011.608505878843","  0 000 002.4090222881119"
"Sul","  0 030 750 ","  0 000 003.7116821219733","  0 000 010.565055005547","  0 000 001.6765858554124"
"Paraná","  0 011 733 ","  0 000 004.4238615883219","  0 000 011.830429301029","  0 000 002.2368593292406"
"Região Metropolitana de Curitiba","  0 003 745 ","  0 000 003.6550853287682","  0 000 009.7148857488734","  0 000 001.6375241924723"
